"Detail_Mobil"
"71.407 km,Automatic,Tangerang Selatan,"
"66.967 km,Automatic,Tangerang Selatan,"
"35.276 km,Automatic,Tangerang Selatan,"
"55.104 km,Automatic,Jakarta Utara,"
"37.757 km,Automatic,Jakarta Utara,"
"49.392 km,Automatic,Bekasi,"
"87.860 km,Automatic,Bekasi,"
"64.213 km,Automatic,Jakarta Utara,"
"86.869 km,Automatic,Tangerang Selatan,"
"108.730 km,Automatic,Bekasi,"
"56.772 km,Automatic,Bogor,"
"88.100 km,Automatic,Bekasi,"
"59.626 km,Automatic,Jakarta Selatan,"
"84.621 km,Automatic,Tangerang,"
"35.230 km,Automatic,Jakarta Selatan,"
"30.334 km,Automatic,Bekasi,"
"57.373 km,Automatic,Tangerang,"
"80.754 km,Automatic,Tangerang Selatan,"
