Kategori,Provinsi,Kota_Kabupaten,Kecamatan,Harga_Teks,Harga_IDR,Merk,Model,Tahun,Jarak_Tempuh,Tipe_Bahan_Bakar,Transmisi,Tipe_Penjual,Nama_Bursa_Mobil,Kapasitas_Mesin,Warna,Tipe_Bodi,URL_Detail
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 270.000.000,270000000,Toyota,Innova,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947754117
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 155.000.000,155000000,Toyota,ori,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947655768
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 765.000.000,765000000,GWM,4x4,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946093730
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 395.000.000,395000000,Honda,GARANSI,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947399981
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 435.000.000,435000000,BMW,520i,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/926812604
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 399.000.000,399000000,Mazda,CX-5,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944979917
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 79.000.000,79000000,Mercedes-Benz,C200,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832620
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 105.000.000,105000000,Volkswagen,Tiguan,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944862447
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 139.000.000,139000000,Toyota,CEPAT,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832545
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 6.800.000.000,6800000000,Porsche,911,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832533
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 485.000.000,485000000,Suzuki,Jimny,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832525
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 18.499.000,18499000,Nissan,Sentra,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832517
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 258.000.000,258000000,Wuling,Cloud,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832508
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 315.000.000,315000000,Toyota,Corolla,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832478
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 113.000.000,113000000,Suzuki,pick,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832458
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 775.000.000,775000000,Toyota,70.JT,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944910037
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 669.000.000,669000000,Toyota,Alphard,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832451
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 775.000.000,775000000,Toyota,70.JT|KM.38.RB|,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944910090
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 120.000.000,120000000,Wuling,KM,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832448
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 775.000.000,775000000,Toyota,70.JT|,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944910132
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 399.000.000,399000000,Toyota,GARANSI,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947445727
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 375.000.000,375000000,Mazda,CX5,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947342472
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 182.000.000,182000000,Toyota,Camry,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947098365
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 183.000.000,183000000,Honda,E,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947566854
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 399.000.000,399000000,Mazda,6,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832428
